City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Saint Anthony,US,2021-01-31 21:05:58,45.0205,-93.218,34.0,69,90,6.91
163,Coolum Beach,AU,2021-01-31 21:01:04,-26.5333,153.1,78.01,91,1,3.0
164,Sindor,RU,2021-01-31 21:05:58,62.8629,51.8905,30.18,98,100,13.33
165,Esperance,AU,2021-01-31 21:05:04,-33.8667,121.9,57.2,94,25,5.75
166,Kecskemet,HU,2021-01-31 21:05:58,46.9062,19.6913,32.0,74,0,9.22
167,Portree,GB,2021-01-31 21:05:58,57.4129,-6.1942,28.0,83,100,1.01
168,Oyama,JP,2021-01-31 21:03:56,36.3,139.8,39.99,59,75,4.61
169,Cherskiy,RU,2021-01-31 21:05:59,68.75,161.3,-18.17,82,94,6.26
170,Melfi,IT,2021-01-31 21:05:59,40.9965,15.6514,44.01,93,90,5.75
171,Narsaq,GL,2021-01-31 21:05:59,60.9167,-46.05,41.0,30,75,20.71
172,Port Augusta,AU,2021-01-31 21:05:59,-32.5,137.7667,68.0,83,100,17.27
173,Tongliao,CN,2021-01-31 21:05:59,43.6125,122.2653,-2.99,91,100,13.44
174,Hasaki,JP,2021-01-31 21:05:59,35.7333,140.8333,35.6,60,75,5.75
175,Sao Miguel Do Araguaia,BR,2021-01-31 21:05:59,-13.275,-50.1628,82.9,74,85,4.61
176,Barcelona,ES,2021-01-31 21:06:00,41.3888,2.159,60.8,51,20,12.66
177,Pahrump,US,2021-01-31 21:06:00,36.2083,-115.9839,57.99,46,100,0.45
178,Carnarvon,AU,2021-01-31 21:06:00,-24.8667,113.6333,84.2,42,81,12.66
179,Boyuibe,BO,2021-01-31 21:06:00,-20.4167,-63.2833,80.6,57,75,6.85
180,Bengkulu,ID,2021-01-31 21:06:00,-3.8004,102.2655,74.97,83,88,5.12
181,Filimonovo,RU,2021-01-31 21:06:00,56.2011,95.4611,-35.1,82,21,2.44
182,Kaitangata,NZ,2021-01-31 21:06:00,-46.2817,169.8464,58.37,76,97,2.75
183,Kirkuk,IQ,2021-01-31 21:06:01,35.4681,44.3922,47.43,65,25,9.42
184,Lima,PE,2021-01-31 21:05:26,-12.0432,-77.0282,73.99,68,0,13.8
185,Sakaiminato,JP,2021-01-31 21:06:01,35.55,133.2333,44.6,61,75,8.05
186,Forbes,AU,2021-01-31 21:06:02,-33.3833,148.0167,75.0,68,32,5.99
187,Saurimo,AO,2021-01-31 21:06:02,-9.6608,20.3916,66.65,93,100,3.38
188,Wilmington,US,2021-01-31 21:05:56,34.2257,-77.9447,60.8,82,90,9.22
189,Turukhansk,RU,2021-01-31 21:06:02,65.8167,87.9833,-12.84,86,100,11.83
190,La Palma,US,2021-01-31 21:03:32,33.8464,-118.0467,71.6,23,75,6.91
191,Lincoln,US,2021-01-31 21:04:37,40.8,-96.667,30.99,69,90,17.27
192,Fortuna,US,2021-01-31 21:01:10,40.5982,-124.1573,54.0,100,20,19.57
193,Katsuura,JP,2021-01-31 21:06:03,35.1333,140.3,39.2,48,75,8.05
194,Conde,BR,2021-01-31 21:06:03,-7.2597,-34.9075,80.6,78,20,12.66
195,Olinda,BR,2021-01-31 21:06:03,-8.0089,-34.8553,80.6,65,40,8.05
196,Airai,TL,2021-01-31 21:06:03,-8.9266,125.4092,60.87,100,100,3.76
197,Skibbereen,IE,2021-01-31 21:05:08,51.55,-9.2667,44.6,100,90,8.05
198,Pisco,PE,2021-01-31 21:06:03,-13.7,-76.2167,75.99,60,0,19.57
199,Kizlyar,RU,2021-01-31 21:06:04,43.8469,46.715,39.31,91,34,4.16
200,Port Blair,IN,2021-01-31 21:06:04,11.6667,92.75,78.93,82,19,11.83
201,Bucak,TR,2021-01-31 21:06:04,37.4592,30.595,53.01,81,40,6.91
202,Oussouye,SN,2021-01-31 21:06:04,12.485,-16.5469,82.4,54,0,3.49
203,Tarakan,ID,2021-01-31 21:06:04,3.3,117.6333,76.71,86,100,8.41
204,Bose,IT,2021-01-31 21:06:04,45.4612,8.0137,45.0,93,71,2.73
205,Nome,US,2021-01-31 21:06:04,64.5011,-165.4064,-2.2,55,75,3.44
206,Sept-Iles,CA,2021-01-31 21:02:09,50.2001,-66.3821,28.4,50,98,2.3
207,Georgetown,MY,2021-01-31 21:01:10,5.4112,100.3354,78.8,83,20,3.44
208,Barcelos,PT,2021-01-31 21:06:05,41.5388,-8.6151,57.2,94,90,5.75
209,Shunyi,CN,2021-01-31 21:06:05,40.125,116.6453,37.0,86,0,4.47
210,Krapivinskiy,RU,2021-01-31 21:06:05,54.9992,86.8133,-14.8,76,0,6.71
211,Coffs Harbour,AU,2021-01-31 21:04:08,-30.3,153.1333,71.01,94,40,4.61
212,Bockenem,DE,2021-01-31 21:06:05,52.0099,10.132,32.0,89,99,3.44
213,Ibra,OM,2021-01-31 21:06:06,22.6906,58.5334,57.18,64,0,1.97
214,San Patricio,US,2021-01-31 21:06:06,28.017,-97.5169,82.4,17,1,16.11
215,Saskylakh,RU,2021-01-31 21:06:06,71.9167,114.0833,-30.93,83,62,7.94
216,Vila Do Maio,CV,2021-01-31 21:06:06,15.1333,-23.2167,73.4,64,0,16.11
217,Daru,PG,2021-01-31 21:06:06,-9.0763,143.2092,76.96,90,97,12.28
218,Maputo,MZ,2021-01-31 21:06:06,-25.9653,32.5892,82.4,83,75,12.66
219,Banjarmasin,ID,2021-01-31 21:06:07,-3.3244,114.591,75.2,100,75,2.08
220,Provideniya,RU,2021-01-31 21:06:07,64.3833,-173.3,-5.24,88,100,24.94
221,Winnemucca,US,2021-01-31 21:06:07,40.973,-117.7357,46.4,42,1,6.91
222,Moree,AU,2021-01-31 21:05:27,-29.4667,149.85,75.2,64,0,8.05
223,Mount Gambier,AU,2021-01-31 21:06:07,-37.8333,140.7667,53.6,94,99,6.91
224,Bulungu,CD,2021-01-31 21:06:07,-4.55,18.6,71.08,89,39,0.16
225,Nantucket,US,2021-01-31 21:03:08,41.2835,-70.0995,28.4,64,90,5.75
226,Alice Springs,AU,2021-01-31 21:06:08,-23.7,133.8833,84.2,32,40,5.75
227,Redlands,US,2021-01-31 21:06:08,34.0556,-117.1825,68.0,22,1,2.26
228,Ancud,CL,2021-01-31 21:06:08,-41.8697,-73.8203,68.0,56,0,6.91
229,Kenai,US,2021-01-31 21:06:08,60.5544,-151.2583,10.99,78,1,7.54
230,Kolda,SN,2021-01-31 21:06:08,12.8833,-14.95,82.83,13,56,4.14
231,Qaqortoq,GL,2021-01-31 21:06:08,60.7167,-46.0333,41.0,30,75,20.71
232,Amapa,BR,2021-01-31 21:06:09,1.0,-52.0,76.51,96,74,3.8
233,Rincon,US,2021-01-31 21:06:09,32.296,-81.2354,62.6,88,90,11.5
234,Acapulco,MX,2021-01-31 21:06:09,16.8634,-99.8901,86.0,66,20,6.91
235,Dudinka,RU,2021-01-31 21:06:09,69.4058,86.1778,-13.7,89,100,11.27
236,Padang,ID,2021-01-31 21:04:59,-0.9492,100.3543,77.05,76,83,4.74
237,Libourne,FR,2021-01-31 21:06:09,44.9167,-0.25,55.0,84,100,19.39
238,Nanortalik,GL,2021-01-31 21:06:10,60.1432,-45.2371,31.71,92,100,7.2
239,Tezu,IN,2021-01-31 21:06:10,27.9167,96.1667,56.59,44,3,3.62
