City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
156,Hadejia,12.4498,10.0444,70.25,21,0,9.35,NG,clear sky,2021-01-31 23:54:10
157,Keffi,8.8486,7.8736,76.1,19,8,4.92,NG,clear sky,2021-01-31 23:54:10
158,Hay River,60.8156,-115.7999,-5.8,77,100,9.22,CA,overcast clouds,2021-01-31 23:53:17
159,Lagoa,39.05,-27.9833,61.5,88,100,17.67,PT,overcast clouds,2021-01-31 23:44:45
160,Bon Accord,53.8335,-113.4187,10.4,78,20,3.44,CA,few clouds,2021-01-31 23:54:11
161,Padang,-0.9492,100.3543,77.5,72,72,4.16,ID,broken clouds,2021-01-31 23:54:11
162,Antofagasta,-23.65,-70.4,68.0,73,40,14.97,CL,scattered clouds,2021-01-31 23:50:10
163,Nanortalik,60.1432,-45.2371,32.32,91,100,6.35,GL,overcast clouds,2021-01-31 23:44:45
164,Natal,-5.795,-35.2094,80.6,78,20,12.66,BR,few clouds,2021-01-31 23:43:09
165,Longyearbyen,78.2186,15.6401,1.4,60,0,17.27,SJ,clear sky,2021-01-31 23:44:15
166,Kruisfontein,-34.0033,24.7314,68.0,81,67,5.99,ZA,light rain,2021-01-31 23:54:12
167,Kodiak,57.79,-152.4072,32.0,51,1,10.36,US,clear sky,2021-01-31 23:54:12
168,Nhulunbuy,-12.2333,136.7667,86.0,74,20,10.36,AU,few clouds,2021-01-31 23:54:12
169,Hami,42.8,93.45,24.28,78,0,6.22,CN,clear sky,2021-01-31 23:54:12
170,Dong Hoi,17.4833,106.6,68.88,90,46,5.26,VN,scattered clouds,2021-01-31 23:54:12
171,Matagami,49.7502,-77.6328,-4.0,92,1,5.75,CA,clear sky,2021-01-31 23:54:13
172,Lompoc,34.6391,-120.4579,62.6,51,1,5.75,US,clear sky,2021-01-31 23:44:17
173,Muisne,0.6,-80.0333,78.46,84,99,4.5,EC,overcast clouds,2021-01-31 23:54:13
174,Tuatapere,-46.1333,167.6833,70.09,52,5,4.18,NZ,clear sky,2021-01-31 23:44:13
175,Marica,-22.9194,-42.8186,89.01,78,0,9.22,BR,clear sky,2021-01-31 23:54:13
176,Rio Grande,-32.035,-52.0986,77.0,88,90,8.05,BR,overcast clouds,2021-01-31 23:50:11
177,Martapura,-3.4167,114.85,75.58,93,100,0.51,ID,moderate rain,2021-01-31 23:52:03
178,Januaria,-15.4833,-44.3667,79.52,58,89,3.11,BR,overcast clouds,2021-01-31 23:44:47
179,Broome,42.2506,-75.833,25.0,79,90,8.05,US,snow,2021-01-31 23:43:56
180,Sao Francisco,-15.9486,-44.8644,76.1,65,19,3.87,BR,few clouds,2021-01-31 23:49:14
181,Am Timan,11.0297,20.2827,73.54,23,1,5.26,TD,clear sky,2021-01-31 23:54:14
182,Thinadhoo,0.5333,72.9333,81.63,80,70,12.01,MV,broken clouds,2021-01-31 23:54:14
183,Salalah,17.0151,54.0924,66.2,68,0,2.3,OM,clear sky,2021-01-31 23:44:43
184,Santa Maria,-29.6842,-53.8069,77.0,83,75,4.61,BR,broken clouds,2021-01-31 23:54:14
185,Gornyy,55.1153,83.9059,-7.02,82,29,5.5,RU,scattered clouds,2021-01-31 23:54:14
186,Gamba,-2.65,10.0,77.99,87,100,1.45,GA,moderate rain,2021-01-31 23:54:14
187,Fukue,32.6881,128.8419,60.8,72,75,20.71,JP,broken clouds,2021-01-31 23:54:14
188,Labuhan,-6.8844,112.2051,78.67,84,100,8.3,ID,overcast clouds,2021-01-31 23:43:43
189,Prieska,-29.6641,22.7474,73.71,35,0,13.22,ZA,clear sky,2021-01-31 23:54:15
190,Bengkulu,-3.8004,102.2655,75.58,80,91,4.23,ID,overcast clouds,2021-01-31 23:54:15
191,Gryfino,53.2524,14.4883,24.01,77,23,1.99,PL,few clouds,2021-01-31 23:54:15
192,Lidkoping,58.5052,13.1577,19.99,92,1,3.44,SE,clear sky,2021-01-31 23:49:24
193,Samarai,-10.6167,150.6667,85.12,68,8,9.78,PG,clear sky,2021-01-31 23:54:15
194,Rio Grande City,26.3798,-98.8203,78.01,24,0,1.99,US,clear sky,2021-01-31 23:54:16
195,Baykit,61.67,96.37,-30.77,77,63,0.58,RU,broken clouds,2021-01-31 23:44:44
196,Nikolskoye,59.7035,30.7861,26.01,93,75,11.18,RU,snow,2021-01-31 23:50:20
197,Kungurtug,50.5994,97.5228,-19.84,77,34,1.57,RU,scattered clouds,2021-01-31 23:49:34
198,Portland,45.5234,-122.6762,54.0,76,90,12.66,US,overcast clouds,2021-01-31 23:44:11
199,Sabang,5.8933,95.3214,80.73,80,68,20.2,ID,broken clouds,2021-01-31 23:50:04
